,caseID,segment,dsc,hsdff_95,method
0,amos_0508,liver,0.97,3.0,MRSegmentator
1,amos_0518,liver,0.97,2.45,MRSegmentator
2,amos_0580,liver,0.97,1.41,MRSegmentator
3,amos_0583,liver,0.97,1.73,MRSegmentator
4,amos_0584,liver,0.97,1.41,MRSegmentator
5,amos_0585,liver,0.97,2.24,MRSegmentator
6,amos_0586,liver,0.97,2.24,MRSegmentator
7,amos_0587,liver,0.97,1.41,MRSegmentator
8,amos_0588,liver,0.97,3.0,MRSegmentator
9,amos_0592,liver,0.97,4.0,MRSegmentator
10,amos_0595,liver,0.97,1.0,MRSegmentator
11,amos_0596,liver,0.97,3.16,MRSegmentator
12,amos_0600,liver,0.97,1.73,MRSegmentator
13,amos_0510,liver,0.94,4.12,MRSegmentator
14,amos_0540,liver,0.94,2.83,MRSegmentator
15,amos_0554,liver,0.98,2.0,MRSegmentator
16,amos_0557,liver,0.98,2.45,MRSegmentator
17,amos_0558,liver,0.98,2.24,MRSegmentator
18,amos_0578,liver,0.98,4.12,MRSegmentator
19,amos_0582,liver,0.98,1.0,MRSegmentator
20,amos_0589,liver,0.98,1.41,MRSegmentator
21,amos_0591,liver,0.98,1.41,MRSegmentator
22,amos_0597,liver,0.98,1.0,MRSegmentator
23,amos_0599,liver,0.98,1.0,MRSegmentator
24,amos_0507,liver,0.95,2.0,MRSegmentator
25,amos_0517,liver,0.95,4.58,MRSegmentator
26,amos_0522,liver,0.95,2.0,MRSegmentator
27,amos_0532,liver,0.95,2.0,MRSegmentator
28,amos_0538,liver,0.95,2.0,MRSegmentator
29,amos_0541,liver,0.95,2.0,MRSegmentator
30,amos_0551,liver,0.95,4.9,MRSegmentator
31,amos_0593,liver,0.95,2.24,MRSegmentator
32,amos_0514,liver,0.96,3.61,MRSegmentator
33,amos_0548,liver,0.96,1.73,MRSegmentator
34,amos_0555,liver,0.96,1.73,MRSegmentator
35,amos_0570,liver,0.96,1.73,MRSegmentator
36,amos_0571,liver,0.96,2.0,MRSegmentator
37,amos_0590,liver,0.96,6.63,MRSegmentator
38,amos_0594,liver,0.96,4.69,MRSegmentator
39,amos_0530,liver,0.93,3.61,MRSegmentator
40,amos_0541,spleen,,320.0,MRSegmentator
41,amos_0557,spleen,0.97,2.45,MRSegmentator
42,amos_0571,spleen,0.97,1.0,MRSegmentator
43,amos_0580,spleen,0.97,1.0,MRSegmentator
44,amos_0583,spleen,0.97,1.0,MRSegmentator
45,amos_0584,spleen,0.97,1.0,MRSegmentator
46,amos_0589,spleen,0.97,1.0,MRSegmentator
47,amos_0590,spleen,0.97,1.73,MRSegmentator
48,amos_0597,spleen,0.97,1.0,MRSegmentator
49,amos_0522,spleen,0.94,1.41,MRSegmentator
50,amos_0570,spleen,0.94,1.41,MRSegmentator
