,caseID,segment,dsc,hsdff_95,method
0,amos_0507,liver,0.94,2.83,TotalSegmentatorMRI
1,amos_0518,liver,0.94,3.46,TotalSegmentatorMRI
2,amos_0557,liver,0.94,6.0,TotalSegmentatorMRI
3,amos_0571,liver,0.94,3.16,TotalSegmentatorMRI
4,amos_0585,liver,0.94,2.83,TotalSegmentatorMRI
5,amos_0586,liver,0.94,5.66,TotalSegmentatorMRI
6,amos_0588,liver,0.94,6.4,TotalSegmentatorMRI
7,amos_0589,liver,0.94,2.83,TotalSegmentatorMRI
8,amos_0590,liver,0.94,7.0,TotalSegmentatorMRI
9,amos_0592,liver,0.94,6.32,TotalSegmentatorMRI
10,amos_0595,liver,0.94,2.83,TotalSegmentatorMRI
11,amos_0597,liver,0.94,2.83,TotalSegmentatorMRI
12,amos_0600,liver,0.94,3.74,TotalSegmentatorMRI
13,amos_0580,liver,0.91,5.74,TotalSegmentatorMRI
14,amos_0594,liver,0.91,10.3,TotalSegmentatorMRI
15,amos_0508,liver,0.95,3.0,TotalSegmentatorMRI
16,amos_0554,liver,0.95,4.69,TotalSegmentatorMRI
17,amos_0555,liver,0.95,2.24,TotalSegmentatorMRI
18,amos_0558,liver,0.95,5.39,TotalSegmentatorMRI
19,amos_0578,liver,0.95,5.2,TotalSegmentatorMRI
20,amos_0584,liver,0.95,2.83,TotalSegmentatorMRI
21,amos_0591,liver,0.95,3.0,TotalSegmentatorMRI
22,amos_0599,liver,0.95,3.0,TotalSegmentatorMRI
23,amos_0517,liver,0.92,7.48,TotalSegmentatorMRI
24,amos_0530,liver,0.92,4.36,TotalSegmentatorMRI
25,amos_0596,liver,0.92,8.25,TotalSegmentatorMRI
26,amos_0514,liver,0.93,5.92,TotalSegmentatorMRI
27,amos_0522,liver,0.93,3.74,TotalSegmentatorMRI
28,amos_0532,liver,0.93,3.61,TotalSegmentatorMRI
29,amos_0538,liver,0.93,2.83,TotalSegmentatorMRI
30,amos_0541,liver,0.93,4.0,TotalSegmentatorMRI
31,amos_0548,liver,0.93,4.12,TotalSegmentatorMRI
32,amos_0551,liver,0.93,5.1,TotalSegmentatorMRI
33,amos_0570,liver,0.93,2.83,TotalSegmentatorMRI
34,amos_0582,liver,0.93,4.24,TotalSegmentatorMRI
35,amos_0583,liver,0.93,5.1,TotalSegmentatorMRI
36,amos_0587,liver,0.93,5.1,TotalSegmentatorMRI
37,amos_0593,liver,0.93,5.0,TotalSegmentatorMRI
38,amos_0510,liver,0.9,13.08,TotalSegmentatorMRI
39,amos_0540,liver,0.9,6.78,TotalSegmentatorMRI
40,amos_0541,spleen,0.0,320.0,TotalSegmentatorMRI
41,amos_0518,spleen,0.91,3.61,TotalSegmentatorMRI
42,amos_0522,spleen,0.91,2.24,TotalSegmentatorMRI
43,amos_0530,spleen,0.91,2.0,TotalSegmentatorMRI
44,amos_0540,spleen,0.91,1.73,TotalSegmentatorMRI
45,amos_0580,spleen,0.91,1.73,TotalSegmentatorMRI
46,amos_0583,spleen,0.91,2.0,TotalSegmentatorMRI
47,amos_0585,spleen,0.91,2.24,TotalSegmentatorMRI
48,amos_0588,spleen,0.91,3.16,TotalSegmentatorMRI
49,amos_0590,spleen,0.91,4.47,TotalSegmentatorMRI
50,amos_0596,spleen,0.91,3.16,TotalSegmentatorMRI
51,amos_0557,spleen,0.88,5.83,TotalSegmentatorMRI
52,amos_0558,spleen,0.88,5.83,TotalSegmentatorMRI
53,amos_0570,spleen,0.88,2.24,TotalSegmentatorMRI
54,amos_0594,spleen,0.88,5.0,TotalSegmentatorMRI
55,amos_0595,spleen,0.88,2.24,TotalSegmentatorMRI
56,amos_0599,spleen,0.88,3.16,TotalSegmentatorMRI
57,amos_0600,spleen,0.88,2.83,TotalSegmentatorMRI
58,amos_0510,spleen,0.92,2.45,TotalSegmentatorMRI
59,amos_0517,spleen,0.92,3.0,TotalSegmentatorMRI
60,amos_0538,spleen,0.92,1.73,TotalSegmentatorMRI
61,amos_0548,spleen,0.92,2.0,TotalSegmentatorMRI
62,amos_0554,spleen,0.92,3.61,TotalSegmentatorMRI
63,amos_0578,spleen,0.92,3.0,TotalSegmentatorMRI
64,amos_0586,spleen,0.92,2.24,TotalSegmentatorMRI
65,amos_0589,spleen,0.92,1.41,TotalSegmentatorMRI
66,amos_0593,spleen,0.92,2.83,TotalSegmentatorMRI
67,amos_0508,spleen,0.89,2.45,TotalSegmentatorMRI
68,amos_0551,spleen,0.89,4.12,TotalSegmentatorMRI
